,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Forecast
2010-02-05,35.0,1230613.5,0.0,27.19,2.784,135.3524608,9.262,
2010-02-12,35.0,1168815.31,1.0,29.81,2.773,135.4113076,9.262,
2010-02-19,35.0,1270658.64,0.0,32.44,2.745,135.4657781,9.262,
2010-02-26,35.0,1020651.74,0.0,36.0,2.754,135.5195191,9.262,
2010-03-05,35.0,1162610.27,0.0,38.07,2.777,135.5732602,9.262,
2010-03-12,35.0,1150344.39,0.0,45.98,2.818,135.6270013,9.262,
2010-03-19,35.0,1117536.09,0.0,49.04,2.844,135.6682247,9.262,
2010-03-26,35.0,1078900.44,0.0,52.34,2.854,135.7073618,9.262,
2010-04-02,35.0,1189556.47,0.0,46.9,2.85,135.7464988,9.051,
2010-04-09,35.0,1198014.97,0.0,62.62,2.869,135.7856359,9.051,
2010-04-16,35.0,1084487.55,0.0,54.95,2.899,135.82725,9.051,
2010-04-23,35.0,1110827.48,0.0,53.91,2.902,135.8721667,9.051,
2010-04-30,35.0,1096930.65,0.0,53.55,2.921,135.9170833,9.051,
2010-05-07,35.0,1182099.88,0.0,69.02,2.966,135.962,9.051,
2010-05-14,35.0,1104277.57,0.0,53.82,2.982,136.010394,9.051,
2010-05-21,35.0,1078182.18,0.0,63.31,2.958,136.0796521,9.051,
2010-05-28,35.0,1223777.48,0.0,67.88,2.899,136.1489101,9.051,
2010-06-04,35.0,1282378.71,0.0,74.29,2.847,136.2181682,9.051,
2010-06-11,35.0,1160412.71,0.0,68.9,2.809,136.2874263,9.051,
2010-06-18,35.0,1198025.76,0.0,70.0,2.78,136.3243393,9.051,
2010-06-25,35.0,1230245.74,0.0,78.02,2.808,136.3483143,9.051,
2010-07-02,35.0,1245827.08,0.0,76.25,2.815,136.3722893,8.861,
2010-07-09,35.0,1268766.76,0.0,82.69,2.793,136.3962643,8.861,
2010-07-16,35.0,1124414.87,0.0,78.26,2.783,136.4179827,8.861,
2010-07-23,35.0,1121756.43,0.0,81.56,2.771,136.4366924,8.861,
2010-07-30,35.0,1139131.78,0.0,79.78,2.781,136.4554021,8.861,
2010-08-06,35.0,1180183.39,0.0,77.45,2.784,136.4741118,8.861,
2010-08-13,35.0,1090587.5,0.0,77.36,2.805,136.4928214,8.861,
2010-08-20,35.0,1033719.5,0.0,75.16,2.779,136.5249182,8.861,
2010-08-27,35.0,917693.06,0.0,70.31,2.755,136.557015,8.861,
2010-09-03,35.0,948660.79,0.0,78.52,2.715,136.5891118,8.861,
2010-09-10,35.0,961685.98,1.0,70.38,2.699,136.6212085,8.861,
2010-09-17,35.0,831443.61,0.0,64.5,2.706,136.6338071,8.861,
2010-09-24,35.0,758069.78,0.0,67.08,2.713,136.6317821,8.861,
2010-10-01,35.0,771065.21,0.0,70.19,2.707,136.6297571,8.763,
2010-10-08,35.0,874615.32,0.0,57.78,2.764,136.6277321,8.763,
2010-10-15,35.0,798376.99,0.0,58.38,2.868,136.6401935,8.763,
